frame_id,prompt,cause,effect,link_type,strength
1,The old wooden beam creaks and groans under a heavy load,beam groans,beam cracks,causal,0.768
1,A rolling stone comes to rest at the base of a rocky outcropping,stone rolls,stone stops,causal,0.732
1,The delicate vase teeters on the edge of a table,vase tilts,vase falls,causal,0.761
1,A fallen tree trunk crushes a small garden gnome,tree falls,gnome is crushed,causal,0.739
1,The metal pipe bends and flexes under excessive pressure,pipe flexes,pipe dents,causal,0.740
1,A dropped key clatters loudly on a stone floor,key drops,key clatters,causal,0.727
1,"The rope tangles around a metal pole, becoming stuck",rope wraps,rope jams,causal,0.731
1,A falling curtain rod swings wildly as it falls,rod falls,curtain flails,causal,0.785
1,The wooden spoon slips from the chef's grasp and clatters on the floor,spoon drops,spoon clangs,causal,0.762
1,A burst pipe sprays water everywhere in a messy gush,pipe bursts,water squirts,causal,0.759
1,The broken chair leg lies twisted and mangled on the ground,leg breaks,chair collapses,causal,0.724
1,A dropped bookshelf crashes to the floor with a loud bang,bookshelf falls,books scatter,causal,0.768
1,The overfilled bucket tips and spills its contents,bucket tips,liquid spills,causal,0.723
1,A fallen branch snaps in half as it hits the ground,branch falls,branch breaks,causal,0.740
1,The loose screw rolls away across the countertop,screw rolls,screw disappears,causal,0.789
1,A dropped jar of paint shatters on the concrete,jar drops,paint spills,causal,0.761
1,The old leather belt creaks and cracks under excessive strain,belt creaks,belt snaps,causal,0.755
1,A rolling ball comes to rest at the base of a pile of blocks,ball rolls,ball stops,inhibits,0.715
1,The dropped screwdriver falls with a metallic clang,screwdriver drops,screwdriver clatters,causal,0.777
1,"A fallen vase lies shattered on the floor, its pieces scattered",vase falls,vase breaks,causal,0.772
1,The metal rod bends and flexes under excessive force,rod flexes,rod dents,causal,0.728
1,"A fallen book lies open on the floor, its pages torn",book falls,book tears,causal,0.713
1,The loose thread unravels and tangles around a metal pin,thread unravels,thread wraps,causal,0.735
1,"A dropped vase teeters on the edge of a table, precarious",vase tilts,vase falls,causal,0.731
1,The metal pipe twists and contorts under excessive torque,pipe twists,pipe bends,causal,0.727
1,A rolling marble comes to rest at the base of a staircase,marble rolls,marble stops,causal,0.785
1,The dropped chain falls with a metallic clatter and wraps around a pillar,chain drops,chain wraps,causal,0.780
1,A fallen tree branch lies tangled in a mess of thorns,branch falls,branch entwines,causal,0.735
1,The old wooden bridge creaks and groans under excessive weight,bridge creaks,bridge cracks,causal,0.762
1,A rolling stone comes to rest at the edge of a cliff,stone rolls,stone stops,causal,0.742
1,The dropped phone falls with a soft thud onto the carpet,phone drops,phone lands,causal,0.783
1,A burst firehose sprays water everywhere in a powerful gush,hose bursts,water squirts,causal,0.747
1,The broken glass falls with a tinkling sound onto the tile floor,glass breaks,glass shatters,causal,0.731
1,A rolling ball comes to rest at the base of a stack of blocks,ball rolls,ball stops,inhibits,0.680
1,The dropped screwdriver falls with a metallic clang onto the countertop,screwdriver drops,screwdriver clatters,causal,0.755
1,A fallen curtain rod swings wildly as it falls from the ceiling,rod falls,curtain flails,causal,0.731
1,The old wooden beam creaks and groans under excessive strain,beam creaks,beam cracks,causal,0.757
1,A rolling marble comes to rest at the base of a pile of books,marble rolls,marble stops,causal,0.782
1,"The dropped vase teeters on the edge of a table, about to fall",vase tilts,vase falls,causal,0.742
1,A burst pipe sprays water everywhere in a messy gush onto the floor,pipe bursts,water squirts,causal,0.728
1,"The metal rod bends and flexes under excessive force, then snaps",rod flexes,rod breaks,causal,0.790
1,A fallen branch lies tangled in a mess of thorns on the forest floor,branch falls,branch entwines,causal,0.751
1,The dropped book falls with a soft thud onto the carpeted stairs,book drops,book lands,causal,0.717
1,"The old leather belt creaks and cracks under excessive strain, then breaks",belt creaks,belt snaps,causal,0.714
1,"A fallen vase lies shattered on the floor, its pieces scattered everywhere",vase falls,vase breaks,causal,0.719
1,"The metal pipe twists and contorts under excessive torque, then bends",pipe twists,pipe bends,causal,0.760
1,A rolling marble comes to rest at the base of a stack of boxes,marble rolls,marble stops,causal,0.773
1,The dropped phone falls with a soft thud onto the wooden floor,phone drops,phone lands,causal,0.744
1,"A burst firehose sprays water everywhere in a powerful gush, soaking the room",hose bursts,water squirts,causal,0.715
1,"The old wooden bridge creaks and groans under excessive weight, then collapses",bridge creaks,bridge falls,causal,0.741
1,A rolling ball comes to rest at the base of a pile of books,ball rolls,ball stops,causal,0.790
1,The dropped screwdriver falls with a metallic clang onto the metal countertop,screwdriver drops,screwdriver clatters,causal,0.752
1,"A fallen branch lies tangled in a mess of thorns on the forest floor, entwined with other branches",branch falls,branch entwines,causal,0.788
1,"The old leather belt creaks and cracks under excessive strain, then snaps",belt creaks,belt breaks,causal,0.779
1,A rolling marble comes to rest at the base of a pile of blocks,marble rolls,marble stops,inhibits,0.661
1,"The dropped vase teeters on the edge of a table, about to fall and shatter",vase tilts,vase falls,causal,0.768
1,A burst pipe sprays water everywhere in a messy gush onto the concrete floor,pipe bursts,water squirts,causal,0.765
1,"The metal rod bends and flexes under excessive force, then dents",rod flexes,rod dents,causal,0.753
1,"A rolling stone comes to rest at the base of a rocky outcropping, partially buried",stone rolls,stone stops,causal,0.731
1,"The dropped phone falls with a soft thud onto the carpeted stairs, then slides down",phone drops,phone slides,causal,0.761
1,"A fallen branch lies tangled in a mess of thorns on the forest floor, entwined with other branches and leaves",branch falls,branch entwines,causal,0.719
1,A tennis racket slams into a fence post with a loud crack,racket hits fence,fence cracks,causal,0.745
1,Water from a burst pipe flows rapidly down a staircase,pipe bursts,water flows,causal,0.796
1,A dropped vase shatters on the concrete floor with a loud sound,vase falls,vase breaks,causal,0.786
1,"A toy car crashes into a stack of blocks, sending them tumbling",car hits blocks,blocks fall,inhibits,0.730
1,Snowflakes gently settle on a frozen lake's surface,snow falls,lake freezes,causal,0.691
1,"A rope wraps around a tree trunk, binding it securely",rope wraps,tree is bound,causal,0.750
1,A falling leaf lands softly on the surface of a pond,leaf falls,leaf floats,causal,0.724
1,"A book slides off a shelf, landing with a soft thud",book falls,book lands,causal,0.783
1,"A falling branch crashes onto a pile of leaves, crushing them",branch falls,leaves are crushed,causal,0.780
1,A burst bubble floats gently to the surface of a bathtub,bubble bursts,bubble rises,causal,0.694
1,"A child's toy truck rolls off a table, landing with a clatter",truck falls,truck lands,causal,0.761
1,"A rope snaps taut, straining against the weight of a heavy load",rope snaps,load is strained,causal,0.809
1,A fallen tree branch rests precariously on a power line,branch falls,power line is supported,causal,0.722
1,"A water balloon bursts, releasing its contents onto the ground",balloon bursts,water spills,causal,0.771
1,A dropped hammer clatters loudly on a concrete floor,hammer falls,hammer lands,causal,0.753
1,A fallen flower petal floats gently down a gentle stream,petal falls,petal floats,causal,0.732
1,"A rock slides down a sandy dune, picking up speed and momentum",rock rolls,rock speeds,causal,0.752
1,A rolled-up rug tangles itself around a chair leg,rug wraps,chair is tangled,causal,0.710
1,"A child's drawing slides off the wall, landing on the floor",drawing falls,drawing lands,causal,0.736
1,A burst of steam shoots out from a pressure valve,valve bursts,steam releases,causal,0.712
1,"A dropped book opens to a random page, revealing its contents",book falls,page is revealed,causal,0.784
1,A child's toy boat floats gently on the surface of a bathtub,boat floats,boat drifts,causal,0.740
1,"A fallen branch lies across a winding stream, blocking its flow",branch falls,stream is blocked,inhibits,0.727
1,A burst of light flashes from a camera's flashbulb,flashbulb bursts,light releases,causal,0.735
1,A rolled-up newspaper tangles itself around a bike handlebar,newspaper wraps,handlebar is tangled,causal,0.715
1,A fallen leaf rustles softly as it settles on the ground,leaf falls,leaf settles,causal,0.780
1,"A dropped curtain billows out, revealing a hidden room",curtain drops,room is revealed,causal,0.786
1,A burst of perfume sprays from a bottle's nozzle,bottle bursts,perfume releases,causal,0.717
1,A rolled-up carpet tangles itself around a chair leg,carpet wraps,chair is tangled,causal,0.749
1,A fallen tree branch leans precariously against a fence post,branch falls,fence is supported,causal,0.716
1,A burst of confetti shoots out from a party popper,popper bursts,confetti releases,causal,0.771
1,A dropped key lands softly on a plush carpet,key falls,key lands,causal,0.771
1,"A child's toy car crashes into a stack of boxes, sending them tumbling",car hits boxes,boxes fall,causal,0.720
1,A fallen rock lies precariously on the edge of a cliff,rock falls,cliff is supported,causal,0.748
1,A burst of bubbles shoots out from a soap solution,solution bursts,bubbles release,causal,0.754
1,A rolled-up sheet wraps itself around a bed frame,sheet wraps,bed is wrapped,causal,0.731
1,A fallen flower settles gently on the surface of a pond,flower falls,flower floats,causal,0.740
1,A burst of sparklers shoots out from a fireworks display,sparklers burst,sparks release,causal,0.744
1,"A child's toy block falls off a tower, landing with a soft thud",block falls,block lands,inhibits,0.677
1,"A fallen tree trunk lies across a winding stream, blocking its flow",trunk falls,stream is blocked,inhibits,0.703
1,A burst of confetti shoots out from a piñata's broken shell,piñata breaks,confetti releases,causal,0.768
1,A rolled-up mat wraps itself around the legs of a chair,mat wraps,chair is wrapped,causal,0.726
1,"A fallen book lies open on the floor, revealing its contents",book falls,page is revealed,causal,0.735
1,A burst of steam shoots out from a kettle's spout,kettle bursts,steam releases,causal,0.790
1,A rolled-up towel wraps itself around the handle of a shower curtain,towel wraps,shower is wrapped,causal,0.762
1,A fallen leaf rustles softly as it settles on the surface of a pond,leaf falls,leaf floats,causal,0.745
1,A burst of bubbles shoots out from a champagne bottle's cork,cork bursts,bubbles release,causal,0.751
1,A rolled-up blanket wraps itself around the legs of a chair,blanket wraps,chair is wrapped,causal,0.720
1,A burst of sparks shoots out from a firework's explosion,firework explodes,sparks release,causal,0.728
1,A rolled-up rug wraps itself around the legs of a chair,rug wraps,chair is wrapped,causal,0.737
1,A burst of confetti shoots out from a party hat's torn seam,hat tears,confetti releases,causal,0.757
1,A rolled-up newspaper wraps itself around the handle of a door,newspaper wraps,door is wrapped,causal,0.728
1,A fallen leaf settles gently on the surface of a pond,leaf falls,leaf floats,causal,0.688
1,A burst of bubbles shoots out from a soda bottle's cap,cap bursts,bubbles release,causal,0.716
1,A rolled-up carpet wraps itself around the legs of a chair,carpet wraps,chair is wrapped,causal,0.760
1,A rolled-up blanket wraps itself around the handle of a door,blanket wraps,door is wrapped,causal,0.728
1,A dropped vase lands softly in a bed of fluffy pillows,vase drops,vase contained,causal,0.782
1,"A rope snaps, releasing a heavy load to crash on the ground",rope breaks,load crashes,causal,0.829
1,A book falls off a shelf and lands open on a soft carpet,book falls,book lands,causal,0.716
1,"A water balloon bursts in mid-air, spilling liquid everywhere",balloon pops,water spills,causal,0.729
1,A toy car rolls off the table and comes to rest on a soft cushion,car rolls,car stops,causal,0.764
1,"A falling tree branch is caught by a sturdy fence, bending it slightly",branch falls,fence bends,causal,0.687
1,A dropped ice cube melts instantly in the warm sunlight,cube drops,ice melts,causal,0.721
1,A stack of plates teeters and then crashes to the floor,plates fall,plates break,causal,0.785
1,"A kite string snaps, sending the kite soaring out of control",string breaks,kite flies away,causal,0.756
1,A ball bounces off a concrete wall and comes to rest at the base,ball bounces,ball stops,causal,0.748
1,"A falling leaf drifts lazily down to the ground, settling softly",leaf falls,leaf lands,causal,0.773
1,A metal can rolls off a table and comes to rest against a leg,can rolls,can stops,causal,0.775
1,"A bookshelf collapses, sending books tumbling to the floor",shelf collapses,books fall,causal,0.725
1,A dropped pencil lands point-first in a pile of sand,pencil drops,pencil stands,causal,0.718
1,"A falling flower pot crashes to the sidewalk, shattering into pieces",pot falls,pot breaks,causal,0.744
1,"A kite string tangles around a tree branch, holding it in place",string gets tangled,branch stays,causal,0.744
1,"A dropped toy robot lands on its back and stays there, motionless",robot falls,robot stays,causal,0.747
1,"A ball of yarn unwinds as it rolls off a table, forming a messy trail",yarn unwinds,yarn spreads,causal,0.768
1,"A fallen branch bends and flexes in the wind, but doesn't break",branch falls,branch stays intact,causal,0.704
1,"A falling feather drifts down to a soft pillow, settling gently",feather falls,feather lands,causal,0.749
1,A dropped glass slips off a table and shatters on the floor,glass drops,glass breaks,causal,0.718
1,"A metal pipe slides along a concrete floor, finally coming to rest",pipe slides,pipe stops,causal,0.742
1,"A book lies open on a table, its pages fluttering in the breeze",book lies open,pages flutter,causal,0.737
1,"A ball of twine unwinds as it rolls off a table, forming a messy heap",twine unwinds,twine spreads,causal,0.779
1,"A fallen tree branch leans against a sturdy wall, holding steady",branch falls,branch stays,causal,0.730
1,A dropped marble bounces off a hard floor and comes to rest,marble drops,marble stops,causal,0.725
1,"A kite string snaps, sending the kite flying wildly out of control",string breaks,kite flies away,causal,0.746
1,A ball of yarn rolls off a table and comes to rest at the base,yarn rolls,yarn stops,causal,0.744
1,A fallen leaf drifts lazily down to a soft pool of water,leaf falls,leaf floats,causal,0.732
1,"A metal rod slides along a concrete floor, finally coming to rest",rod slides,rod stops,causal,0.730
1,"A book lies flat on a table, its pages rustling gently in the breeze",book lies flat,pages rustle,causal,0.744
1,A ball of putty rolls off a table and comes to rest at the base,putty rolls,putty stops,causal,0.745
1,"A dropped picture frame lands on its side, but doesn't break",frame drops,frame stays intact,causal,0.719
1,A ball of clay rolls off a table and comes to rest at the base,clay rolls,clay stops,causal,0.754
1,"A fallen flower pot crashes to the sidewalk, shattering into pieces",pot falls,pot breaks,causal,0.714
1,"A dropped book falls open on a soft carpet, its pages rustling softly",book falls,book lands,causal,0.790
1,"A metal pipe slides along a concrete floor, finally coming to rest against a wall",pipe slides,pipe stops,causal,0.777
1,A dropped toy car lands on its wheels and comes to rest,car drops,car stops,causal,0.788
1,"A metal rod slides along a concrete floor, finally coming to rest at the edge",rod slides,rod stops,causal,0.784
1,"A book lies open on a table, its pages fluttering wildly in the breeze",book lies open,pages flutter,causal,0.778
1,"A dropped leaf drifts lazily down to the ground, settling softly",leaf falls,leaf lands,causal,0.723
1,A metal can rolls off a table and comes to rest against a chair leg,can rolls,can stops,causal,0.749
1,"A dropped picture frame lands on its back and stays there, motionless",frame drops,frame stays,causal,0.727
1,"A dropped book lies flat on a table, its pages rustling softly in the breeze",book lies flat,pages rustle,causal,0.742
1,"A metal pipe slides along a concrete floor, finally coming to rest at the edge",pipe slides,pipe stops,causal,0.715
1,A dropped toy car rolls off a table and comes to rest at the base,car drops,car stops,causal,0.740
1,A dropped vase hits the hardwood floor with a loud crack,vase drops,vase shatters,causal,0.789
1,"The rope snaps, causing the bucket to swing wildly",rope breaks,bucket swings,causal,0.731
1,A rolling tire crashes into a stationary concrete pillar,tire rolls,tire crashes,causal,0.773
1,The loose screw falls from the shelf and gets lost in carpet,screw drops,screw disappears,causal,0.746
1,A dropped book lands open on a slippery tile floor,book falls,book slides,causal,0.744
1,"The kite string snaps, sending the kite flying away",string breaks,kite flies,causal,0.787
1,A spilled cup of water spreads rapidly across the countertop,water spills,water spreads,causal,0.840
1,"The heavy object falls from the table, crushing a nearby vase",object falls,vase is crushed,causal,0.804
1,"A rope wraps tightly around the wooden beam, holding it in place",rope wraps,beam is held,causal,0.807
1,The dropped phone bounces on the sidewalk before coming to rest,phone drops,phone bounces,causal,0.722
1,A loose board creaks and falls from the old wooden fence,board falls,board breaks,causal,0.734
1,"The chain link snaps, releasing the heavy weight to fall",chain links,weight falls,causal,0.837
1,A dropped pen rolls across the desk before coming to rest,pen drops,pen rolls,causal,0.756
1,"The rope wraps around the anchor, holding it securely",rope wraps,anchor is held,causal,0.753
1,A burst pipe sprays water everywhere in the kitchen,pipe bursts,water sprays,causal,0.770
1,The dropped hammer clatters on the concrete floor,hammer drops,hammer clatters,causal,0.715
1,A slippery banana peels and slides across the kitchen counter,banana peels,banana slides,causal,0.757
1,"The wire snaps, causing the lamp shade to crash to the floor",wire breaks,shade crashes,causal,0.750
1,A dropped book falls off a stack and lands on its side,book falls,book lands,causal,0.778
1,The loose brick falls from the crumbling wall,brick drops,brick breaks,causal,0.723
1,A dropped picture frame shatters on the hardwood floor,frame drops,frame shatters,causal,0.787
1,"The rope wraps tightly around the wooden post, securing it",rope wraps,post is secured,causal,0.756
1,A spilled jar of paint rolls across the floor before stopping,paint spills,paint rolls,inhibits,0.675
1,The dropped screwdriver falls onto a pile of soft fabric,screwdriver drops,screwdriver lands softly,causal,0.758
1,A burst firehose sprays water everywhere in the park,firehose bursts,water sprays,causal,0.764
1,"The wire gets tangled, causing the cord to snap and unwind",wire tangles,cord snaps,causal,0.729
1,A dropped toy car crashes into a pile of soft blocks,car drops,car crashes,inhibits,0.670
1,"The rope wraps around the tree trunk, securing it in place",rope wraps,tree is secured,causal,0.781
1,A dropped glass vase shatters on a stone floor,vase drops,vase shatters,causal,0.730
1,The heavy box falls from the truck and lands with a thud,box falls,box lands,causal,0.808
1,A dropped book slides across the floor before coming to rest,book drops,book slides,causal,0.760
1,"The rope snaps, causing the pulley system to malfunction",rope breaks,system malfunctions,causal,0.744
1,A dropped tool falls onto a pile of soft materials,tool drops,tool lands softly,causal,0.757
1,A dropped phone slides across the desk before stopping,phone drops,phone slides,inhibits,0.702
1,"The rope wraps around the anchor, holding it securely in place",rope wraps,anchor is held,causal,0.785
1,A burst pipe sprays water everywhere in the bathroom,pipe bursts,water sprays,causal,0.726
1,The dropped ball bounces on the hardwood floor before coming to rest,ball drops,ball bounces,causal,0.767
1,A slipped stone rolls down a hillside before stopping,stone slips,stone rolls,inhibits,0.679
1,"The rope wraps around the wooden beam, holding it securely in place",rope wraps,beam is held,causal,0.742
1,A dropped book falls off a shelf and lands on its side,book drops,book lands,causal,0.764
1,"The wire snaps, causing the lamp to crash to the floor",wire breaks,lamp crashes,causal,0.734
1,A spilled cup of coffee spreads rapidly across a white tablecloth,coffee spills,coffee spreads,causal,0.785
1,The dropped picture frame shatters on the hardwood floor,frame drops,frame shatters,causal,0.770
1,A burst fire extinguisher sprays foam everywhere in the kitchen,extinguisher bursts,foam sprays,causal,0.716
1,A dropped book slides across a desk before coming to rest,book drops,book slides,causal,0.747
1,"The chain link snaps, releasing the heavy weight to fall freely",chain links,weight falls,causal,0.840
1,A slipped block rolls down a pile of soft fabric before stopping,block slips,block rolls,inhibits,0.740
1,A dropped glass jar shatters on a stone floor,jar drops,jar shatters,causal,0.716
1,"The rope snaps, causing the pulley system to malfunction and fail",rope breaks,system malfunctions,causal,0.727
1,A dropped toy car crashes into a pile of soft blocks before coming to rest,car drops,car crashes,inhibits,0.681
1,A dropped phone lands softly on a pile of soft materials,phone drops,phone lands softly,causal,0.785
1,"The rope wraps tightly around the wooden beam, holding it securely in place",rope wraps,beam is held,causal,0.820
1,A burst pipe sprays water everywhere in the living room,pipe bursts,water sprays,causal,0.780
1,The dropped book falls off a shelf and lands open on its side,book drops,book lands open,causal,0.740
1,A slipped stone rolls down a hillside before coming to rest,stone slips,stone rolls,causal,0.723
1,"The rope wraps around the wooden post, securing it in place",rope wraps,post is secured,causal,0.777
1,A dropped picture frame shatters on a hardwood floor,frame drops,frame shatters,causal,0.766
1,"The wire snaps, causing the lamp to crash to the floor and break",wire breaks,lamp crashes,causal,0.759
1,A dropped pebble slips down a tiny waterfall's edge and disappears,pebble drops,waterfall hides pebble,causal,0.789
1,"A soft book falls open on its spine, creasing the pages",book falls,pages get creased,causal,0.762
1,"A heavy box crushes a cardboard tube, flattening it instantly",box falls,tube gets crushed,causal,0.761
1,"A gentle breeze rustles the leaves of an autumn tree, revealing its structure",wind blows,leaves rustle,causal,0.775
1,"A rolling marble bounces off a metal ball, changing direction",marbles collide,balls bounce,causal,0.734
1,A fragile vase teeters on the edge of a table and tips over,vase falls,vase breaks,causal,0.763
1,"A small boat glides smoothly across calm lake water, leaving ripples",boat moves,water ripples,causal,0.785
1,"A dropped pencil rolls down a carpeted floor, picking up speed",pencil drops,pencil rolls,causal,0.721
1,"A heavy stone sinks slowly to the bottom of a pond, disturbing fish",stone falls,water churns,causal,0.729
1,"A bookshelf's top shelf collapses, sending books tumbling down",shelf collapses,books fall,causal,0.719
1,"A falling leaf lands softly on a bed of moss, blending in",leaf falls,moss hides leaf,causal,0.754
1,"A metal rod slides smoothly across a wooden table, leaving scratches",rod moves,table gets scratched,causal,0.732
1,A dropped spoon clatters loudly on the ceramic floor of a kitchen,spoon drops,spoon clatters,causal,0.758
1,"A kite string snaps, sending the kite crashing to the ground",string breaks,kite crashes,causal,0.767
1,"A small rock rolls down a sandy dune, gaining speed and momentum",rock drops,sand swirls,causal,0.726
1,A wooden beam creaks loudly as it swings back into place after being pushed,beam swings,wood creaks,causal,0.761
1,"A dropped jar rolls across a tile floor, picking up speed and noise",jar drops,glass clatters,causal,0.731
1,A fragile crystal teeters on the edge of a table and falls,crystal falls,crystal breaks,causal,0.749
1,"A metal pipe bends slightly as it's twisted, then returns to its original shape",pipe twists,pipe straightens,causal,0.742
1,"A small toy car crashes into a pile of soft blocks, getting stuck",car crashes,blocks entrap car,inhibits,0.728
1,"A falling raindrop lands on the surface of a still pond, creating ripples",raindrop falls,water churns,causal,0.717
1,"A metal ball rolls down a spiral staircase, picking up speed and momentum",ball drops,stairs echo,causal,0.744
1,"A small boat capsizes in the ocean, sending its occupants scrambling to save it",boat tips over,people scramble,causal,0.732
1,"A dropped book slides smoothly across a wooden table, coming to rest",book falls,book stops,causal,0.710
1,"A heavy anchor sinks slowly into the ocean floor, stirring up sediment",anchor drops,water churns,causal,0.782
1,"A small toy train crashes into a pile of soft fabric, getting stuck",train crashes,fabric entrap train,causal,0.761
1,"A metal rod slides smoothly across a polished marble floor, leaving scratches",rod moves,floor gets scratched,causal,0.731
1,"A falling leaf gets caught in a spider's web, becoming stuck",leaf falls,leaf gets stuck,causal,0.769
1,"A small boat glides smoothly across calm lake water, leaving behind a trail of ripples",boat moves,water ripples,causal,0.754
1,"A metal pipe bends slightly as it's flexed, then returns to its original shape",pipe flexes,pipe straightens,causal,0.704
1,"A small toy car rolls down a carpeted floor, picking up speed and momentum",car drops,car speeds,causal,0.711
1,"A heavy stone sinks slowly to the bottom of a pond, disturbing fish swimming nearby",stone falls,fish dart away,causal,0.726
1,"A bookshelf's middle shelf collapses, sending books tumbling down",shelf collapses,books fall,causal,0.781
1,"A small rock rolls down a sandy dune, gaining speed and momentum as it goes",rock drops,sand swirls,causal,0.782
1,"A metal ball slides smoothly across a wooden table, coming to rest",ball moves,ball stops,causal,0.754
1,"A dropped jar rolls across a tile floor, picking up speed and noise as it goes",jar drops,glass clatters,causal,0.777
1,"A small rock rolls down a carpeted floor, picking up speed and momentum",rock drops,rock speeds,causal,0.757
1,A fragile vase teeters on the edge of a table and falls,vase falls,vase breaks,causal,0.722
1,"A book falls from a shelf, pages fluttering wildly as it lands",book falls,pages flutter,causal,0.720
1,"A rolling wheel crashes into a stack of crates, sending them tumbling",wheel crashes,crates topple,causal,0.735
1,A dropped hammer bounces off the concrete floor with a loud clang,hammer drops,hammer clings,causal,0.782
1,A burst of water from a broken pipe flows freely across the floor,pipe bursts,water flows,causal,0.774
1,"A chair leg gets stuck in a rug, causing it to wobble precariously",chair gets stuck,chair wobbles,causal,0.779
1,"A rope snaps, sending a swinging door crashing open with a bang",rope snaps,door crashes,causal,0.782
1,A box of fragile items slides off the table and shatters on the floor,box slides,items break,causal,0.727
1,A chain reaction of dominos falls as one domino is knocked over,domino falls,dominos fall,causal,0.730
1,"A deflated balloon bobs in the air, slowly sinking to the ground",balloon deflates,balloon sinks,causal,0.678
1,A burst of steam escapes from a kettle as it boils over,kettle boils,steam bursts,causal,0.772
1,"A toy car crashes into a pile of blocks, sending them scattering",car crashes,blocks scatter,inhibits,0.731
1,A stack of precariously balanced cups falls as one is knocked over,cup falls,cups fall,causal,0.743
1,A dropped phone bounces off the tile floor with a faint thud,phone drops,phone bounces,causal,0.760
1,"A rope ladder collapses as someone steps on it, sending rungs flying",ladder collapses,rungs fly,causal,0.722
